market,category,currency,descripcion_producto,precio_producto,precio_promocion,descripcion_promocion,imagen
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Condimento para pizza Pergola 25 g. sin TACC </span>","$ 101,00",,,https://carrefourar.vtexassets.com/arquivos/ids/176144-170-170?v=1765369945&width=170&height=170&aspect=true
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Galleta grisin Grun orgánica con lira y chía 145 g. </span>","$ 374,00",,,https://carrefourar.vtexassets.com/arquivos/ids/183220-170-170?v=1765385581&width=170&height=170&aspect=true
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Premezcla para pizza Arcor 500 g. Sin TACC </span>","$ 605,00",,,https://carrefourar.vtexassets.com/arquivos/ids/180245-170-170?v=1765378512&width=170&height=170&aspect=true
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Shampoo Capilatis con aloe vera 100% orgánico 420 cc. </span>","$ 1.022,00",,,https://carrefourar.vtexassets.com/arquivos/ids/262367-170-170?v=1765380647&width=170&height=170&aspect=true
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Tratamiento capilar Capilatis con aloe vera 100% orgánico 170 g. </span>","$ 766,00",,,https://carrefourar.vtexassets.com/arquivos/ids/262352-170-170?v=1765373502&width=170&height=170&aspect=true
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Bizcochitos dulces Smams 150 g. sin TACC </span>","$ 280,00",,,https://carrefourar.vtexassets.com/arquivos/ids/171146-170-170?v=1765374440&width=170&height=170&aspect=true
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Leche de coco Sococo UAT 200 cc. </span>","$ 627,75$ 837,00","$ 627,75c/u",2do al 50% Mi Crf Max 6 Unidades combinable,https://carrefourar.vtexassets.com/arquivos/ids/178409-170-170?v=1765365815&width=170&height=170&aspect=true
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Langostinos crudos pelados Huella Natural 500 g. </span>","$ 2.100,00$ 2.475,00","$ 2.100,00- 15% Off",,https://carrefourar.vtexassets.com/arquivos/ids/181505-170-170?v=1765378012&width=170&height=170&aspect=true
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Galletitas orgánicas Zafranito vainilla 150 g. </span>","$ 289,00",,,https://carrefourar.vtexassets.com/arquivos/ids/262130-170-170?v=1765373309&width=170&height=170&aspect=true
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Tostadas de arroz Lulemuu multisemillas 110 g. sin TACC </span>","$ 151,50",,,https://carrefourar.vtexassets.com/arquivos/ids/183293-170-170?v=1765377755&width=170&height=170&aspect=true
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Barra de cereal Zafrán almendras coco 28 g. sin TACC </span>","$ 176,50",,,https://carrefourar.vtexassets.com/arquivos/ids/171269-170-170?v=1765383788&width=170&height=170&aspect=true
